record,date,time,vibration_mm_sec
1,2025-06-01,01:00:00,2.6
2,2025-06-01,01:05:00,2.02
3,2025-06-01,01:10:00,2.63
4,2025-06-01,01:15:00,2.19
5,2025-06-01,01:20:00,2.5
6,2025-06-01,01:25:00,2.34
7,2025-06-01,01:30:00,2.14
8,2025-06-01,01:35:00,2.07
9,2025-06-01,01:40:00,2.16
10,2025-06-01,01:45:00,2.5
11,2025-06-01,01:50:00,2.8
12,2025-06-01,01:55:00,2.12
13,2025-06-01,02:00:00,2.17
14,2025-06-01,02:05:00,2.68
15,2025-06-01,02:10:00,2.7
16,2025-06-01,02:15:00,2.21
17,2025-06-01,02:20:00,2.46
18,2025-06-01,02:25:00,2.49
19,2025-06-01,02:30:00,2.47
20,2025-06-01,02:35:00,2.6
21,2025-06-01,02:40:00,2.56
22,2025-06-01,02:45:00,2.07
23,2025-06-01,02:50:00,2.09
24,2025-06-01,02:55:00,2.76
25,2025-06-01,03:00:00,2.74
26,2025-06-01,03:05:00,2.02
27,2025-06-01,03:10:00,2.63
28,2025-06-01,03:15:00,2.13
29,2025-06-01,03:20:00,2.57
30,2025-06-01,03:25:00,2.55
31,2025-06-01,03:30:00,2.11
32,2025-06-01,03:35:00,2.74
33,2025-06-01,03:40:00,2.04
34,2025-06-01,03:45:00,2.29
35,2025-06-01,03:50:00,2.74
36,2025-06-01,03:55:00,2.35
37,2025-06-01,04:00:00,2.71
38,2025-06-01,04:05:00,2.72
39,2025-06-01,04:10:00,2.5
40,2025-06-01,04:15:00,2.28
41,2025-06-01,04:20:00,2.71
42,2025-06-01,04:25:00,2.74
43,2025-06-01,04:30:00,2.04
44,2025-06-01,04:35:00,2.23
45,2025-06-01,04:40:00,2.55
46,2025-06-01,04:45:00,2.23
47,2025-06-01,04:50:00,2.34
48,2025-06-01,04:55:00,2.65
49,2025-06-01,05:00:00,2.55
50,2025-06-01,05:05:00,2.08
51,2025-06-01,05:10:00,2.46
52,2025-06-01,05:15:00,2.59
53,2025-06-01,05:20:00,2.74
54,2025-06-01,05:25:00,2.07
55,2025-06-01,05:30:00,2.7
56,2025-06-01,05:35:00,2.5
57,2025-06-01,05:40:00,2.46
58,2025-06-01,05:45:00,2.68
59,2025-06-01,05:50:00,2.42
60,2025-06-01,05:55:00,2.71
61,2025-06-01,06:00:00,2.22
62,2025-06-01,06:05:00,2.42
63,2025-06-01,06:10:00,2.2
64,2025-06-01,06:15:00,2.69
65,2025-06-01,06:20:00,2.71
66,2025-06-01,06:25:00,2.76
67,2025-06-01,06:30:00,2.57
68,2025-06-01,06:35:00,2.1
69,2025-06-01,06:40:00,2.43
70,2025-06-01,06:45:00,2.46
71,2025-06-01,06:50:00,2.29
72,2025-06-01,06:55:00,2.32
73,2025-06-01,07:00:00,2.18
74,2025-06-01,07:05:00,2.21
75,2025-06-01,07:10:00,2.7
76,2025-06-01,07:15:00,2.27
77,2025-06-01,07:20:00,2.44
78,2025-06-01,07:25:00,2.35
79,2025-06-01,07:30:00,2.2
80,2025-06-01,07:35:00,2.45
81,2025-06-01,07:40:00,2.62
82,2025-06-01,07:45:00,2.1
83,2025-06-01,07:50:00,2.45
84,2025-06-01,07:55:00,2.33
